unit_order,unit_id,unit_title,A4095,P3465,P3475,R2536,CCCP578,P3471
125,916fffa9-c3ce-4d59-ae0f-6312e42bcdd1,Courtier Exonerates Jackal,فبينما أمّ الأسد في كلامها إذ دخل على الأسد بعض من كان مكر بابن آوى فأطلع الأسد على أمره,فبينما أمّ الأسد تقصّ عليه هذه المقالة إذ دخل على الأسد بعض ثقاته فأخبره ببراءة ابن آوى,فبينا أمّ الأسد في كلامها إذ دخل على الأسد بعض من كان يمكر بابن آوى فأطلع الاسد [على] على أمره,فبينا أمّ الأسد تقصّ هذه المقالة على الأسد إذ دخل [بك] من مكر بابن آوى فأخبر ببراءته,قال فبينما أمّ الأسد تعظه وتعطّفه وتضرب له الأمثال وتشفع في ابن آوى إذ أتاه من أخبره ببراءة ابن آوى وأعلمه أنّه ناصح أمين وأنّه †بريء †من ما جرى عليه وما قيل فيه,فبينما أمّ الأسد في كلامها وهي تعظه إذ دخل على الأسد بعض من كان ظاهرًا على ابن آوى فأطلع الأسد على أمره وأخبره ببراءته وأعلمه أنّه كان *مبغيًّا عليه
126,c0f9590d-aabd-4862-9d05-e8e6c50a1fe4,Lion Is Convinced,,,,,,
127,21dc9255-ec60-433e-962c-1f0315cd87cd,Jackal Begins Defense,,,,,,
128,839d725e-002a-4040-9557-cba99d969cb9,Jackal Requests Investigation,,,,,,
129,292014aa-1656-4c99-b9a2-892990ffe9bd,Lion Investigates Plotters,,,,,,
130,1cfd4955-8cb9-41ee-9f81-c33fea1e6e98,Mother's Second Speech,,,,,,
131,56f5a65d-c8da-40fe-995b-3961f6a11cd4,Mother Reaffirms Intrigue,فلمّا علمت أمّ الأسد أنّ الأسد قد اطّلع على براءة ابن آوى قالت للأسد أمّا إذا اطّلعت على براءة ابن آوى وجرأة أصحابك عليه,فقالت أمّ الأسد بعد أن اطّلع الملك على براءة *ابن *آوى,,قالت للأسد أمّا إذا استبانت لك براءة ابن آوى بعد تظاهر من جندك عليه بعداوتهم ومكرهم,قال فلمّا عرفت أمّ الأسد أنّ الأسد عرف ابن آوى بما كذبوا وأنّهم حسدوه على مكانه من الأسد قالت للأسد قد صحّ عندك وتقرّر بأنّ ابن آوى مكذوب عليه,فلمّا علمت أمّ الأسد ذلك وأنّ الملك قد اطّلع على براءة ابن آوى واستبان لهم سلامته مما رقي إليه عنه قالت قد تقرّر هذا عندك من تظاهر من بغى من جندك وقد اطّلعت على براءة ابن آوى وجراءة أصحابك وتعاونهم عليه
132,20a2e97e-dee7-4fd8-999c-b35291289dc1,Lion Must not Tolerate Misdeeds,فلا ترضينّ بذلك منهم,<فهو> حقيق أن لا يرخّص لمن سعى به فيجترؤوا على ما هو أعظم من ذلك,فلا ترضى بذلك منهم,فأنت حقيق أن تقطع ما تظاهروا عليه لتنجو من الإثم وما أدخلوا عليك من مضرّة,والساعة لا ترخّصْ لهم في ذلك,فلا تسوّغ لهم ذلك ولا ترخّص لهم فيه ولا ترضينّ منهم ولا تدعنّ *تثبّت ذلك بينهم فتكون مشجّعًا لهم على أعظم منه
133,4b3a31bb-75c3-471d-b971-b7050fd32be8,Lion Must Reject Slander without Evidence,,,,,,
134,9c43e1ff-1c7e-4fbb-baa6-73943a717332,Lion Must Punish Plotters,ولا تدعنّ تشتّت <ذات> بينهم حتّى ينقطع منك الشفقة عليهم فيتّخذوك <مركبًا> فتعوّدهم الاحتمال منك وتجرّئهم على ضرّك وشينك,ولكن يعاقبهم عليه لكيلا يعودوا,ولا تدعهم حتّى تشتّت بينهم فلا يتّخذونك مركبًا فتقودهم الاحتمال على ضرّك وشينك,لئلّا يتظاهروا بعدها على أحد من قرابتك ولئلّا يتّخذوك مركبًا,وكافئهم على فعلهم لكي لا يعودوا إلى مثل ذلك,ولكن عاقبْهم حتّى تنقطع منك الشفقة عليهم فلا يتّخذوك مركبًا فتعوّدهم الاحتمال على ضرّك وشينك
135,e05337b2-8bfc-45c4-92f2-19a64054ea67,Punishment Shall Deter Further Misdeeds,,,,,,بل تقتل كلّ من تظاهر عليه بعدوان لئلّا يطمع جاهلًا ويجترئ عدوّ للدين والمملكة على مثل ذلك منك في نصحائك وأهل مودّتك ويقذفون بمثل هذا القول في صدرك فتصير منه إلى ندامة وغمّ
136,c244b483-5564-4d35-887f-0503f78ce533,Lion Must not Underestimate Wrongdoers,ولا تغترّنّ بسلطانك عليهم فيدعوك ذلك إلى استصغارهم والتهاون بأمرهم,,ولا تقتّرنّ بسلطانك عليهم فيدعوك استصغارهم إلى التهاون بهم,ولا تغترّ بسلطانك عليهم وتتّكل عليهم ولا يُغرون بمثل هذا القول في صدرك فتصير منه إلى ندامة وغمّ,ولا تتكلّمْ فتقول أنا مسلّط عليهم لا أخافهم,ولا تغترّنّ بسلطانك وتقول إنّي مسلّط عليهم فيدعوك ذلك إلى استصغارهم والتهاون بأمرهم
137,04c2f853-6267-4cf2-ab11-57bbdef86abb,People Who Are Not to Be Brought Back,,,,,,
138,6a9c6c78-59dc-4026-89c9-642f097ead2d,Grass Rope Ties Elephant,فإنّ الحشيش الضعيف إذا جُمع فُتل منه الحبل القويّ الذي يُوثق به الفيل المغتلم الشديد,,فإنّ الحشيش الضعيف إذا جُمع فُتل منه الحبل القويّ الذي يوثَق به الفيل المغتلم,فإنّ العشب كما قد رأيت في اللين والضعف قد يجتمع منه الكثير فيُصنع منه الحبل الذي يوثَق به الفيل !المتعلّم,فإن كان العشب وإن كان لا قوّة له يصنع مثل الحبل الذي يُوثق به الفيل والجمل والفرس,فإنّ العشب من الحشيش الضعيف وإن كان لا قوّة له إذا جُمع فمثل مثلًا الجبل القويّ الذي يوثَق به الفيل المغتلم الشديد
139,33b89061-c6bd-4e13-af83-743fbc9639e2,Lion Should Trust Jackal,,,,,,
140,3064aaec-a0f3-45bf-80a9-302c49a2695f,Lion Should Reinstate Jackal,فأعدْ لابن آوى منزلته وخاصّته ولا يؤيسنّك من مناصحته ما فرط إليه منك من الإساءة,,فأعدْ لابن آوى منزلته وخاصّته ولا يؤايسك من مناصحته ما فُرّط إليه منك من الإساءة فإنّه قد تُمحى الإساءة بالإحسان,فاردّ ابن آوى إلى منزلته التي كان عليها وبها من سرّك ومشورتك,فارددْ ابن آوى إلى منزلته وليكنْ صاحب مشورتك وأمينك على سرّك لأنّه قد أُوذي وكُذب عليه ولا ?ىىىعك ***,فاردد ابن آوى إلى منزلته التي كان عليها وخاصّة منك وليكن صاحب مشورتك وسرّك ولا يمنعك ما كان منك من الاستهانة وقولك قد أُوذي وقُمع فييأس وانقطع رجاؤه من أن يعيده إلى مكانه عندك
141,71a72c88-2752-474e-8d8e-a0cd66837472,Lion Should Not Fear Jackal's Grudge,,,,ولا تقلْ في نفسك قد أسأت إلى ابن آوى فلا آمن غوائله إن راجعته,,ولا تقول في نفسك إنّي قد أسأت إليه فلست آمن غوائله وتلزم قلبك اليأس من مناصحته *ومصاحبته لما فرط منك
142,461902dd-e094-4f3a-8c20-5874fc650de5,The Wronged Person Need not Be Feared,فإنّه ليس كلّ من أُسيء إليه ينبغي أن يُتخوّف غشّه وعداوته ويُؤيس من نصيحته ومودّته لكن,,,فإنّه ليس كلّ من أوذي وضغن يُخشى ضرّه وينقطع الرجاء منه ومن منفعته ولكن من عرف نفسه !عزّوه ومن عرف الأشياء وضعها مواضعها,,فإنّه ليس كلّ من أُسيء إليه وأوذي تخوّفت غائلته ولا انقطع الرجاء من منفعته ولا كلّ من عثر عليه بمكروه خيف غشّه وعداوته يُئس من نصيحته ومودّته ولكن من عرف الأشياء وضعها في مواضعها
143,9efe2b3d-258b-4ee6-bca0-67332edc8ac9,The Intelligent Must Rank People by Character,ينبغي أن يُنزّل الناس في ذلك على اختلاف ما بينهم,,,,,وقد ينبغي للعاقل أن ينزل الناس منازلهم على اختلاف ما بينهم
144,dc19e172-1284-474c-9e45-bc9517fdc786,Whom not to Reinstate,,,,فإنّ من الناس من لا ينبغي مواصلته بعد مفارقته فمن فارق من هذه الأصناف التي أنا ذاكر من الناس فلا ينبغي لهم أن يراجعهم,فإنّ الإخوان ليس أسواء لمواصلة مضرّة وبلاء وفتنة,فإنّ الإخوان ليسوا سواء فمنهم لا ينبغي مواصلته بعد مقاطعته ومعاداته ومنهم لا ينبغي معاداته بعد مواصلته
145,2e14bfe3-f7ab-420b-81ef-ee574aa8fd11,The Faithless Should Be Given Up,واحذر من الخلطاء الثمانية الكفور النعمة الغادر بما يُعهد إليه والذي لا يؤمن بيوم الحساب والثواب والعقاب,فإنّه لا ينبغي أن ... أمر الكفور الجاني الجريء على الغدر الزاهد في الآخرة والذي لا يوقن بالآخرة وأنّه أحرى بعمله,,الكفور بالحسنى الجريء على الذنوب والزاهد في الآخرة ومن لا رحمة له والذي لا يؤمن ولا يوقن بالآخرة,ومنهم الكفور الزاهد في فعل الخير ومنهم الجريء على ركوب الإثم المنزوع منه الرحمة فلا يرجو لعمله ثوابًا ولا يتخوّف على نفسه عقابًا ومنهم من لا يؤمن بالغيب والحساب,فمن لا ينبغي أن يواصله على حال فإنّه الكفور للحسنى الجريء على ارتكاب الإثم الزاهد في الخير المنزوع منه الرحمة ومن مواصلته ضرّ بلاء وفتنة ومن لا يرجو العمل ثوابًا ولا يتخوّف من عمل شيء عقابًا ولا يؤمن ببعث ولا بحساب ولا بجزاء ولا بنشور
146,c7e6d079-2490-4bf6-8b98-7cb64683f735,The Irascible Should Be Given Up,والمفرط في حرصه وهمّه وغضبه,وقد عرفتَ سرعة الغضب وفرط الهفوة,,والذي قد جرّب بسرعة الغضب وشره النفس وإفراط النفس بالشهوة,ومنهم السريع الغضب *الشره الشديد الحرص التابع لشهوته وهواه,ومنهم السريع الغضب الشره النفس القصير القامة الأجرود الأزرق العينين المفرط الشهوة الشديد الحرص التابع لهواه وشهوته
147,cfbb0667-db47-4be5-917b-296b627cc489,The Irreconcilable Should Be Given Up,ومن يسخطه اليسير بغير علّة ومن لا يرضى بشيء وإن كان كثيرًا جسيمًا وذا المكر الداهي الغامض مكرًا,ومن سخط باليسير لم يبلغ رضاه بالكثير وأنت حقيق بمراجعته بالشكر وحسن العهد وحبّ السرّ والبغض للإثم وحبّ العامّة والرحمة لهم,,ومن إذا أسخطه اليسير لم يُبلغ رضاه بالكثير والمعروف بالخيانة والخديعة والحرص,المتمادي في غيّه ومكره المعروف بالخديعة والجرأة,ومن إذا سخط لم يقدر له أحد علي رضاه والمتتابع في غيّه ومكره والمعروف بالخيانة والخديعة *والخلابة والمفرط في كلّ شيء والجائز فوق حدّه
148,5e4a8f61-558a-4164-bdd2-9bf1e8f16224,The Hedonistic Should Be Given Up,واللّهج بالزنا والخمر والسيّئ الظنّ المتلوّن المتهجّم القليل الحياء,,,والمفرط في اللعب والدناءة وشرب الخمر والذي يسيء ظنّه في كلّ شيء والمجرَّب بقلّة الحياء,ومنهم صاحب شهوة ولذّة ولعب وشرب يستحسن *كلّ ما ركبه *فالمباعدة لأولئك أفضل في العاجل,ومنهم صاحب لذّات ولهو وشرب ولعب قد قُذف عنه الحياء فاستحسن ما ارتكب فاجتناب أولئك والمباعدة عنهم غنيمة ليس فوقها وهي أفضل ما في العاجل والآجل
149,795dc3dd-e321-468a-8dd5-87078e3e61bb,Cutting off Some People Is Gain,فإنّ منهم من إذا ظُفر بقطيعته كان الرأي أن يُغتنم ذلك منه ويُمتنع من معاودته,,,,,ومنهم من إذا ظُفر بقطيعته كان الرأي أن يُغتنم ذلك ويُمتنع من معاودته
150,6ffc3ea2-047a-4028-9aef-444f61360128,Some People Should Never Be Cut Off,ومنهم من لا ينبغي تركه وقطعه على كلّ حال,,,,,
151,54ec43be-7a12-472d-a5bf-77e3becf5ae7,The Vile To Be Cut Off,فمن عُرف بالشرارة ولؤم <العهد> وقلّة الوفاء والشكر والبعد من الورع والرحمة والجحود لثواب الآخرة وعقابها والحسد وإفراط الشره والحرص والسرعة إلى سوء الظنّ والقطيعة والإبطاء عن المعاودة والمراجعة *فقطعه أحزم للرأي,,,,,فمن عُرف *بالشرارة !ولزم العهد وقلّة الوفاء والشكر والبعد من الورع والرحمة والجحود لثواب الآخرة وعقابها وإفراط الشره والحرص والسرعة إلى سوء الظنّ والقطيعة والإبطاء عن المعاودة والمراجعة فقطيعته أجزم الرأي
152,933fd531-c923-4da3-9fe3-7f893ca2e4bb,People Who Should Be Kept,ومن عُرف بالصلاح وكرم العهد والشكر والوفاء والمحبّة للناس والسلامة من الحسد والحقد والبعد من الأذى والاحتمال للأصحاب والإخوان وإن ثقلت عليه منهم المؤونة فهذا حقيق أن تُغتنم صحبته وصلته ويُمتنع من *قطيعته,,,,,ومن عُرف بالصلاح وكرم العهد والشكر والوفاء والمحبّة واحتمال الأصحاب والإخوان وإن ثقلت عليه منهم المؤنة فهذا حقيق أن تُغتنم صلته ويُمتنع من قطيعته
153,7eae70b6-fde9-4511-81a3-ef9667fa129b,Whom to Reinstate,*واعتمد من الخلطاء والأصحاب الشكور *النعمة الوفيّ العهد والكريم عند تصاريف الأمور,وأنت حقيق بمراجعته بالشكر وحسن العهد وحبّ السرّ والبغض للإثم وحبّ العامّة والرحمة لهم,,ولكنّه يواصل ويراجع من قد جرّب بالشكر وحسن العهد وحب البرّ والتوقّي للإثم وحبّ العامّة والرحمة لهم وقلّة الحقد عليهم والذاكر للبرّ والدائم ذكره لأهل ودّه والمجرَّب بالحياء وحسن †الخيم,,وقد ينبغي أن يواصل من يُعرف بالشكر فإنّه من كان شكورًا لا يُحبّ تركه قطيعته على حال من الحالات والخاصّ من الإخوان الوفيّ بالعهد المحبّ للبرّ المتوقّي للإثم المتعمّد للعامّة بالرحمة لهم وقلّة الحقد والذاكر لليد الدائم ذكره لأهل ودّه والمستحي الكريم
154,93c6291c-7e44-4ead-b8e9-b4ed1b8ed5d7,The Faithful Should Be Kept,,,,,والآجل ومنهم *** الدين وعقل ولبّ وصبر وشكر وفاء وعهد وحسن خلق ولين عريك لا يبطرهم غناء ولا يحوّلهم فقر قد استقامت طريقتهم وقد عرفوا حقّ الله عليهم فاجتنبوا *كلّ ما فيه إثم,ومنهم أهل ورع ودين وفاء ولبّ وحسن خليقة وخلق ولين عريكة لا يبطرهم غنًى ولا يقنطهم إقتار استقامت طريقتهم فَوَفوا لإخوانهم وقلّ حقدهم وعرفوا حقّ الله عليهم واجتنبوا كلّ شيء فيه الإثم لهم
155,56b8fad0-5d38-4100-ae5a-9bd069008bcc,Keeping the Virtuous Is Beneficial,,,,,أولئك إخاؤهم رشدًا ومخالفتهم غمّ ليُقتبس الخير منهم ويُلتمس ما عندهم من العلم والفضل والأدب,فصلة أولئك حقّ ومؤاخاتهم رشد ومخالطتهم غنيمة أولئك يُقتبس الخير منهم ويُلتمس من عندهم
156,a88bece0-623c-4cae-9d7a-92b0b58bb267,The Pious Should Be Kept,وذا الدين المتّقي الورع والمستريح الصدر بالخيرات والعالم الديّن المحبّ الخير للناس والرحيم القليل الحقد الصافح عن ذنوب أخلّائه المحافظ عليهم غير الناسي لودّهم والمخبَر بالعفّة والحياء,,,,,
157,55546c96-8d5a-4677-ab60-aa6fdf6f7fe0,Jackal Has Been Tested,,وقد عرفت ابن آوى وجرّبته وأنت حقيق بمواصلته,,وقد جرّبت ابن آوى وعرفته فأنت بمراجعته ومواصلته جدير,فابن آوى منهم وقد جرّبت ذلك واختبرته في رأيه وعقله زمانًا,وإنّ ابن آوى من أولئك وقد كنت جرّبت ذلك منه واختبرته من رأيه وعرفته فأنت حقيق بمراجعته ومواصلته
158,9b454eed-d7ff-4fae-b064-36a1f80bc439,Lion Apologizes to Jackal,فلمّا ظهر للأسد براءة ابن آوى ممّا قُذف به ازداد له تكرمة وبه ثقة فدعاه واعتذر إليه ممّا كان منه في أمره,فدعا الأسد بابن آوى واعتذر إليه ممّا كان منه ووعده خيرًا وقال إنّي معتذر إليك,فدعا الأسد بابن آوى فاعتذر إليه,فدعا الأسد ابن آوى عند ذلك واعتذر إليه في الذي أتى إليه,قال فلمّا سمع الأسد كلام والدته أعجبه فدعا بابن آوى واعتذر إليه ممّا كان منه,فلمّا سمع الأسد ذلك من قول أمّه دعا بابن آوى عند ذلك فاعتذر إليه ممّا كان !منع به وأمر فيه ووعده خيرًا
159,5aa44d90-2ffa-4357-99b8-712a6097b6f5,Lion Values Jackal More,وقال له إنّ الذي كان من الأمر قد زاد فيما كان من ثقتي بك ثقة وزاد ظني بك إلى ما كان من حسنه حسنًا,,,,,
160,aff3e997-c860-4d62-82d3-b5686f23d74b,Jackal Laments Mistreatment,,,,,,
161,80227e7e-b7d8-41db-8fb9-144ec52bdfe7,Lion Wants to Reinstate Jackal,فأقمْ على ما كنت عليه من أمرنا وعملنا,ورادُّك إلى منزلتك,وأخبره أنّه معيده إلى منزلته وولايته,وقال له إنّي رادّك إلى منزلتك التي كنت بها منّي ومؤتمنك على أمري بما كنت أئتمنك عليه قبل اليوم,وقال له عند ذلك الأسد إنّي معيدك إلى أفضل ما كنت عليه ومعطيك ما كنت فيه وأكثر وأجعلك على جميع الخزائن والأموال ومقدّمك على خواصّ مملكتي وجاعلك عندي في أعلى المراتب لأنّك عندي أهلًا لذلك وأنت مستحقّه فطبْ نفسًا وقرّ عينًا,وقال له إنّي أراك ومعيدك إلى منزلتك التي كنت فيها وزيادة والحالة التي كنت عليها منّي وأعطيك شيئًا أنا وأنت أهله ومؤتمنك وجاعلك من أمري ما كنت ائتمنتك عليه قبل اليوم وإنزالك عندي بأفضل المنازل
162,c7e13493-8e74-4da9-9d2e-82685320829c,Critical Friend Is Rare,,,فلمّا فرغ الأسد من كلامه قال ابن آوى الحائد بنفسه على خليله المتّبع هواه فيما يضرّه الرأي له والكاذب ممّا هو هيّن يسير فأمّا الخليل العاقل الناصح الراغب في منفعة خليله بما يعلم وإن ثقل ذلك عليه ***,فإنّ اتّخاذ المؤثر على خليله والمتّبع هوى خليله فيما يضرّه هيّن يسير وأمّا الخليل المناصح المستقبل لخليله ببعض ما يكرهه في منفعته بعزيز المطلب,,فإنّ اتّخاذ المؤثر نفسه على خليله المتّبع هوى خليله فيما يضرّه هيّن يسير فأمّا الخليل المناصح المستقبل لخليله ببعض ما يكرهه في منفعته لعزيز الطلب
163,17574aef-b07f-464c-8ef3-fb4cd14bcf0a,Forgiving Friend Is Rare,,,فقال ابن آوى إنّه مهما كان من الأصحاب محتملًا لا يستقلّ صاحبه بالإغلاظ والخلاف فيما يتخوّف عليه منه الضرر فاحتمله منه إذا استقبله به فإنّ وجود مثله عزيز,,,ومن كان من الأصحاب محتملًا لاستقبال صاحبه بالإغلاظ والخلاف فيما يتخوّف عليه منه الضرر فاحتمله إذا كان استقبله فإنّ وجود مثله عزيز
164,9c258c9b-0d6f-40fb-aeb6-d4100136be7e,Jackal's Speech,,,,,,
165,a66e79be-a472-4735-8da4-90c40dd223fd,Jackal Fears Future Plots,,,,قال ابن آوى قد علمت أيّها الملك السعيد كيف كان أوّل أمري والحال التي لها صحبت الملك وصرت إلى ما صرت إليه ولست واثقًا بمن بالباب من أهل البغي والحسد أن يرفعوا إليه ثانية شيئًا يحقّ به قولهم فتنزل بي العقوبة,,قال ابن آوى قد علمت أيّها الملك السعيد كيف كان أوّل أمري والحال التي صحبت عليها الملك وقد صرت إليه ولست واثقًا بمن يحضر الباب من أهل البغي والحسد أن يرقوا إلى الملك ثانية شيئًا يحقّق به قولهم عليّ فتنزل بي العقوبة
166,75331672-9435-43b8-8d9d-934d64d60b0f,Untrue Friends Seek Only Their Own Benefit,,فقال ابن آوى إنّ شرّ الأخلّاء من التمس منفعة نفسه بضرّ أخيه وكان أخوه غير ناظر كنظره وأرضاه بدون الحقّ وكثير ذلك ما يقع بين الأخلّاء,,,قال له ابن آوى إنّ شرّ الأخلّاء من التمس منفعة نفسه بضرّ أخيه فكان غير ناظر له وإلى مصالحه له بنظره لنفسه أو كان يريد يرضيه بخلاف الحقّ واتّباع هواه فأولئك من الإخوان المردودين,فإنّ شرّ الأخلّاء من التمس منفعة نفسه بمضرّة أخيه فإن كان غير ناظر له كنظره لنفسه أو كان يريد أن يرضيه بخلاف الحقّ واتّباع هواه فأولئك من الإخوان موجودون
167,f4fed632-19b7-4439-9f4d-ca97e9d930f3,Whom One Must Trust,,,,,وإنّما ينبغي للمرء أن يُؤمن ويؤدّي من يؤمن !سيرته ويحمد عاقبته ويكتفي برأيه ويثق بوفائه ويترك المحاولة في !معصيته ومشهده فأولئك تكون الثقة بهم والطمأنينة إليهم وكان من أمر الملك ما قد علم فلا تحدّثه *نفسه أنّي غير واثق به,وإنّما ينبغي للمرء أن يودّ من يأمنه على سريرته ويكتفي بشهادته عمّا غاب عن ويثق برأيه ووفائه والرأي من وراء !جرّته *** والمناضلة لمن هار جُرفه *والمحاماة عليه في مغيبه ومشهده فأولئك الذين يكون بهم الثقة وإليهم تكون الطمأنينة
168,4ad84180-37e9-47ce-b7a5-c7a7819c7abe,Jackal Announces Criticism,قال ابن آوى إنّي قائل لك أيّها الملك قولًا فلا يغلظنّ عليك,,,,,
169,563e3e53-28ce-46a5-abbb-f7240688c902,Lion Must Accept Refusal,,,فلا يستغلظ الملك إن أخبرته أنّه لا سبيل له إلى الثقة بي وأنّه <لا> ينبغي له استصحابي,,,فلا !يستقطعنّ الملك إن أخبرته أن لا سبيل له إلى الثقة بي وأنّه لا ينبغي له استصحابي
170,db714cc1-2a2e-455c-836c-2afbcdd90d6e,Jackal is Disappointed at Lion,فإنّ أحقّ من قبل من أهل الحجج الأحكام وإنّك إن كنت *أحدثت بي ثقة وحسن ظنّ فليس شيئًا تفضّلت به عليّ *فتعدّه من نفسك صنيعة عندي أو طَوْلًا عليّ,,,,,
171,e5964d68-69c1-499b-a82c-e44d12fed5c7,Lion Believed the Accusation,ولكن قد أحدثت بك أيّها الملك سوء ظنّ وقلّة ثقة لما ظهر لي من سرعة استماعك لأهل الكذب وإفسادك الكثير من حسن البلاء الذي لا تنكره بالقليل الحقير من القذف الذي تعرفه *وتقلّبك إليّ بالبائقة والجائحة قبل السبب والإعذار فقد صيّرتني في حدّ لا تثق بي ولا أثق بك لما صيّرت لهم عليّ من السبل,,,,,
172,20509a8d-ce8e-45a2-8370-b760c90d8918,The Mistreated Cannot Be Trusted,,,فإنّي قد أُصبت بعظيم البلاء غير مستوجب له,,,فإنّ من كان قد أصيب بعظيم من البلاء مثلي غير مستوجب له لا يُطمئنّ إلى مصاحبته
173,8348bcd2-8519-4832-ac38-dd46984ad1b5,Jackal Is Reluctant to Trust Lion Again,,وقد كان الملك أتى ما علم فلا يأخذنّ على نفسه بما أخبره به,,فلا يجدنّ الملك من قولي أنّي لا *أجد بمن ببابه ثقة,وكان من أمر الملك ما قد علم فلا تحدّثه *نفسه أنّي غير واثق به,وقد كان من الملك إليّ ما قد علم فلا يأخذنّ في نفسه إن أخبرته أنّي به غير واثق
174,20eb0833-a10d-454e-b446-c74536208d26,King Must not Trust the Wrongfully Punished ,لأنّه لا ينبغي للملك أن يثق بهذه الأصناف ممّن قد عوقب العقوبة الكبيرة عن غير جُرم أو من ناله الضرّ العظيم منهم,فإنّه لا ينبغي لي أن أصحبه فإنّ الملوك لا ينبغي لهم أن يصحبوا من عاقبوه أشدّ العقاب وإنّما ينبغي لهم أن يرفضوه,,,ولا ينبغي للملك أن يتّخذني لنفسه ولا لغيره ذلك من غير أنّه اطمأنّ إلى من عاقبه أشدّ العقوبة,وأنّه لا ينبغي له أن يتّخذني لنفسه ولا يطمئنّ إلى من عاقبته أشدّ العقوبة على أقطع الذنوب
175,c38746a5-5c76-41ea-8da8-71579b91413c,King Must not Trust the Deposed,ومن عزلوه عن ولاية وعمل كان في يديه,,*** أو كان قد أزيل عن مرتبته,,ممّن يدعه عن علمه,أو من قد نزعه عن علمه وأزاله عن مرتبته وأقصاه
176,65a518ea-e492-47d2-a191-5bce989d7ae9,King Must not Trust the Extorted,ومن سلبوه أمواله وعقاره,,أو كان قد سُلب ما له ظلمًا,,أو ممّن أخذ ماله ومن أغرمه من غير ذنب أو كان للغرامة أهلًا,أو كان قد سلب ماله ظلمًا وأغرمه في غير ذنب
177,d0babc58-1ebf-4b10-af00-517967fb62bd,King Must not Trust Someone Denied Honor,ومن كان في الثقة عندهم فأقصوه وقطعوا طمعه بغير سبب,,أو كان مقرّبًا فأقصي من غير علّة,,أو كان ممّن يتقوّى به في الأمور التي يحتاج فيها إلى مثله فلم يعرف ذلك ولم *يؤت إليه ما هو أهله,أو كان مقرّبًا للكرامة أهلًا وكان موثوقًا به في الأمور التي يُحتاج فيها إلى مثله فلم يُعرف ذلك ولم يُؤت إليه ما هو أهل وأُقصي {عن} غير عمله
178,5e066138-3d08-4538-8c4b-9d8368648b23,King Must not Trust the Unrewarded,وذي المروءة والنبل ليُنزل غير منزلته أو قُدّم عليه أكفاؤه ونظراؤه,,,,ومن عرف بحسن <الرأي> والمقدرة فعرف لذلك ثمّ لم يكافئ به,أو من {عُرف} بحسن الرأي والمقدرة والنظر والبصر فقُرّب لذلك وشوّر وسوّف ثمّ لم يكافأ به ولم يوصل عليه
179,781c3bfa-3317-4a6e-bf31-e6eb37bc6765,King Must not Trust One Singled out for Punishment,,,*** أو عقابًا فعُفي عنهم دونه أو بلغ منه ما لم يكن يبلغ منهم,,أو من كان في أناس فأنعم عليهم فاحترموه وعُوقب من بينهم ولم يفعل به في مثل ما أتي إليهم,أو من كان في أناس من نظرائه فأُنعم عليهم في ذنب اجترموه وعوقب من بينهم ولم يُفعل به مثل الذي أتي إليهم
180,a15ca115-db5d-41ba-be65-642cb36463c7,King Must not Trust One Passed Over in Favors,,,أو كان قد استحقّه في نظرائه فأُثبتوا دونه وفُضّلوا عليه,,,أو كان ممّن قد استوجب في نظرا له ثوابًا فأثيبوا دونه وفُضّلوا عليه
181,01db5d18-06d6-4a9a-aa11-ef65343c37c8,King Must not Trust Someone Denied Justice,والمظلوم الطالب للنصَفة غير المنصَف,,أو كان مظلومًا فلم يُنصف,,أو كان مظلومًا فلم ينظرْ في أمره ولا فيما ارتكب منه,أو من كان مظلومًا فلم يُنظر في أمره ولا فيما ارتُكب منه
182,58cc8da0-7b9f-4df7-b27f-377dbc676ffa,King Must not Trust the Humiliated,ومن استُقبل بما يكره في المحافل,,,,أو ممّن أُهين أو أوذي واستُحقر به من غير جرم,أو ممّن استُهزئ به وأوذي وصُغّر في مجمع الناس عن غير جرم
183,9da8fbd4-3e82-4d48-b821-fe28caa7c69d,King Must not Trust Someone Denied Pardon,والمذنب الراجي للعفو فلم يُعف عنه,,,,أو كان أذنب ذنبًا لم يستحقّ فيه العقوبة أو كان بالمنزلة التي ينبغي أن يُعفى عنه فيها ولم يفعل ذلك به,أو كان أذنب ذنبًا يسيرًا لم يستحقّ به عقوبة وكان ممّن ينبغي له أن يُعفى عنه لها فلم يُفعل ذلك به
184,29dd3203-8d91-4152-b9f9-b020d3cd8e31,King Must not Trust the Greedy and Unsatisfied,وذي الحرص القليل القنوع,,أو معروفًا بإفراط الحرص والشره,,أو كان من أهل الطمع والشره ولم يصبْ بعض ما يرجوه ولا ما يوافقه,أو كان *معروفًا بإفراط الحرص والشره والطمع فلم يصبْ بعض سائر !أفقه
185,b1dd93f4-9071-43bd-8cc3-b401673e8d72,Kind Must not Trust the Adversarial,ومن يرجو المنفعة والصلاح بمضرّة السلطان,,أو كان يرى في منفعة السلطان له ضرًّا,,,أو كان ممّن يرى في منفعة السلطان ضرًّا وفي ضرّه له نفعًا
